aadhdhayis	aaashsho
aadhdhennaadan	aabboo'ana
aadhdhi	aaboolee
aadhdhida	aabooliya
aadhdhidaba	aaca
aadhdhidabaa	aacaa
aadhdhidi	aacana
aadhdhin	aacay
aadhdhiya	aacciis
aadhdhiyo	aacidi
aadhdhiyooba	aaciis
aadhdhoosona	aada
aafo	aadday
aagaa	aadhdhaasu
aagee	aadhdhabeykku
aagiyaan	aadhdhana
aagiyan	aadhdhanaagaa
aahdhdida	aadhdhanaassi
aaho	aadhdhanaw
aahonne	aadhdhas
aahotettaa	aadhdhees
aahuwakko	aadhdhenna
aahuwan	aadhdhi
aahuwappe	aadhdhibeenna
aahuwn	aadhdhibookkona
aahwun	aadhdhibookkonna
aakimee	aadhdhida
aakkana	aadhdhidabaa
aakkees	aadhdhidi
aakki	aadhdhido
aakkida	aadhdhidoogaa
aakkidi	aadhdhidosona
aakkiiddinne	aadhdhiichchiis
aakkiya	aadhdhiis
aakkiyo	aadhdhikko
aakkiyoodekka	aadhdhishin
aanne	aadhdhiwodhdhiis
aannisaa	aadhdhiya
aannisaanne	aadhdhiyo
aannisaara	aadhdhiyode
aannisi	aadhdhiyogee
aannissa	aadhdhiyosaa
aannissaa	aadhdhiyosay
aappe	aadhdhoosona
aappun	aadhi
aappunan	aadiis
aappunay	aadissanaw
aappunee	aafgaan
aara	aafotiis
aarettaa	aafuwa
aaro	aafuwara
aaruwa	aagaa
aas	aagee
aasanawunne	aaho
aassanawu	aahotettaa
aassees	aahotettay
aassi	aahuwan
aassidi	aakime
aassiya	aakimee
aassiyogaa	aakimettanaw
aassiyooga	aakimettiyo
aata	aakimetun
aatiyoogee	aakimiiddi
aattana	aakimiis
aattanawu	aakimiya
aatti	aakimiyakko
aattido	aakkido
aattiiddi	aakkiis
aattiiyooga	aalettaa
aattiya	aaliis
aattiyagaa	aallanttees
aattiyanne	aallanttiis
aattiyo	aallanttoosona
aattiyodenne	aallanttuwa
aattiyogaa	aammotees
aattiyoo	aammotida
aattiyoobay	aammotiis
aattiyoodenne	aammoy
aattiyoogaa	aammuwa
aattoosona	aamotiis
aattyioo	aan
aatuwa	aanaasu
aatuwaa	aani
aawa	aaniis
aawaa	aannisaa
aawaara	aannisaanne
aawan	aanno
aawatetta	aannuwa
aawatettaa	aanugaa
aawatettan	aappun
aawatettay	aappunaa
aawatettaynne	aappunee
aawati	aappuntta
aaway	aappunttee
aayee	aappunttoo
aayeera	aapputoo
aayiya	aapuntta
aayiyo	aara
aayo	aarachchuwa
aayoteteeaa	aardvark
aayyiya	aarees
aayyiyakka	aarettaa
aayyiyo	aariis
abaa	aaro
abbaa	aassa
abbabachcho	aassidi
abbayaaniinne	aassiis
abbee	aatoy
abbiya	aatta
abbiyaappe	aattaas
abbiyaara	aattaasi
abbiyan	aattaasu
abbiyappe	aattada
abbiyara	aattadasa
abiraama	aattana
abiraame	aattanaassi
abstain	aattanaayyoo
acceptability	aattananaw
acceptance	aattanaw
achchan	aattees
achchay	aatteettees
	aatti
	aattida
	aattidaakkonne
	aattidi
	aattido
ada	aattidosona
addachchi	aattiis
addaraashan	aattiya
adeema	aattiyo
adems	aattiyode
	aattiyogee
adereti	aattiyosaa
adimaasa	aattiyosay
adimaasu	aattoosona
admessi	aattuttee
adumaasu	aattuutee
adussa	aatuwa
adussatettaa	aaw
adussatettaappe	aawa
adussatettay	aawaa
aduwa	aawaaayyee
	aawaanne
aekeekissida	aawaappe
afikrkkaa	aawaara
afirkaappeenne	aawaassi
afirkka	aawaatoo
afirkkaa	aawadankka
afirkkan	aawan
afiro	aawantti
age	aawassi
aggaasu	aawatettaa
aggada	aawatettan
aggan	aawati
aggana	aawatiis
agganawu	aawatiyagaa
aggees	aaway
aggenna	aawaynne
aggennan	aawu
aggi	aawussi
aggibeenna	aaya
aggibookko	aaye
aggidi	aayee
aggidosona	aayeekko
aggii	aayeera
aggiidoson	aayeessi
aggiigenna	aayen
aggiigidi	aayentti
aggiiginne	aayetetta
aggiis	aayetettaa
aggikko	aayeti
aggin	aayetu
agginne	aayetuppe
aggiyakko	aayi
aggiyo	aayidan
aggiyooba	aayiiyye
aggiyoode	aayiya
aggiyoogaa	aayiyo
aggoosona	aayiyyoo
aginaa	aayotettaa
aginan	aayyee
aginappe	aayyee'ana
aho	aayyeero
aids	aayyeessi
aisle	aayyeti
ajjanddaa	aayyetoonne
akeeka	aayyiya
akeekaa	aayyiyanne
akeekaani	aayyiyo
akeekaanne	aayyiyonne
akeekaappe	aayyiyoo
akeekaas	abaa
akeekabeennabata	abaaliya
akeekada	abala
akeekadii	aballiya
akeekan	abaraadees
akeekana	abaraadettaa
akeekanaadan	abaraadiis
akeekanawu	abasha
akeekanchcha	abashaa
akeekay	abb
akeekaykka	abbaa
akeekaynne	abbaappe
akeekees	abbali
akeekenna	abban
akeekennaadan	abbattoir
akeekennan	abbee
akeekettanawu	abbiya
akeekettees	abbrevated
akeekettiyo	abbyssinian
akeekettiyooba	abhore
akeekettiyoobanne	abhorrence
akeeki	abigaazaa
akeekida	'abole'
akeekidaakko	abraame
akeekideta	abraham's
akeekidi	abridgement
akeekidinne	abrogation
akeekido	abukaadoosiya
akeekidoogaa	abukaaduwayyoo
akeekiichchikko	abuulla
akeekissees	abyssinica
akeekissiya	acaa
akeekite	accross
akeekiya	accummulated
akeekiyaagaa	accussative
akeekiyo	achcha
akeekiyoogaa	achchaa
akeekiyoogaanne	achchaama
