1234567

NB0000  	<abbr>
AQ0000  	<adj>
AQ0000  	<adj><pred>
AQ00P0  	<adj><pl>
AQ00S0  	<adj><sg>
AQ0000  	<adj><sint>
AQC000  	<adj><sint><comp>
AQS000  	<adj><sint><sup>
RG      	<adv>
RV      	<adv><itg>
Fc      	<cm>
Fp      	<sent>	
Fg      	<guio>
Fc      	<lpar>
Fc      	<rpar>
CA      	<cnjadv>
CC      	<cnjcoo>
CS      	<cnjsub>
DA0CN0  	<det><def><sp>
DD0FS0  	<det><dem><f><sg>
DD0CP0  	<det><dem><mf><pl>
DD0CN0  	<det><dem><mf><sp>
DD0MS0  	<det><dem><m><sg>
DI0CP0  	<det><ind><pl>
DI0CN0  	<det><ind><sp>
DT0CP0  	<det><itg><pl>
DT0CS0  	<det><itg><sg>
DT0CN0  	<det><itg><sp>
DO0CN0  	<det><ord><sp>
DP0CN0  	<det><pos><mf><sp>
DP0FN0  	<det><pos><f><sp>
DP0MN0  	<det><pos><m><sp>
DQ0CP0  	<det><qnt><pl>
NP00O00 	<n><acr><sp>
NCFPV00 	<n><f><pl>
NCFSV00 	<n><f><sg>
NCCPV00 	<n><mf><pl>
NCCSV00 	<n><mf><sg>
NCMPV00 	<n><m><pl>
NCMSV00 	<n><m><sg>
NCMNV00 	<n><m><sp>
NPFSSP0 	<np><ant><f><sg>
NPCSSP0 	<np><ant><mf><sg>
NPMSSP0 	<np><ant><m><sg>
NPCSSP0 	<np><cog><mf><sg>
NPFSO00 	<np><org><f><sg>
NPMSO00 	<np><org><m><sg>
NPFSG00 	<np><top><f><sg>
Z       	<num>
Zm      	<num><mon>
Z       	<num><ord>
Z       	<num><pl>
Z       	<num><sg>
Z       	<num><sp>
SPS000   	<pr>
RG      	<preadv>
PP1CPN00	<prn><emph><p1><mf><pl>
PP1CSN00	<prn><emph><p1><mf><sg>
PP2CPN00	<prn><emph><p2><mf><pl>
PP2CSN00	<prn><emph><p2><mf><sg>
PP3FSN00	<prn><emph><p3><f><sg>
