1234567

AQ0FP0  	<adj><f><pl>
AQ0FS0  	<adj><f><sg>
A00FP0  	<adj><ind><f><pl>
A00FS0  	<adj><ind><f><sg>
A00MP0  	<adj><ind><m><pl>
A00MS0  	<adj><ind><m><sg>
A00CN0  	<adj><itg><mf><sp>
AQ0CP0  	<adj><mf><pl>
AQ0CS0  	<adj><mf><sg>
AQ0CN0  	<adj><mf><sp>
AQ0MP0  	<adj><m><pl>
AQ0MS0  	<adj><m><sg>
A00FP0  	<adj><pos><f><pl>
A00FS0  	<adj><pos><f><sg>
A00MP0  	<adj><pos><m><pl>
A00MS0  	<adj><pos><m><sg>
RG      	<adv>
RG      	<adv><itg>
Fc      	<cm>
CA      	<cnjadv>
CC      	<cnjcoo>
CS      	<cnjsub>
DA0FP0  	<det><def><f><pl>
DA0FS0  	<det><def><f><sg>
DA0MP0  	<det><def><m><pl>
DA0MS0  	<det><def><m><sg>
DD0FP0  	<det><dem><f><pl>
DD0FS0  	<det><dem><f><sg>
DD0MP0  	<det><dem><m><pl>
DD0MS0  	<det><dem><m><sg>
DI0FP0  	<det><ind><f><pl>
DI0FS0  	<det><ind><f><sg>
DI0CP0  	<det><ind><mf><pl>
DI0CS0  	<det><ind><mf><sg>
DI0MP0  	<det><ind><m><pl>
DI0MS0  	<det><ind><m><sg>
D00NN0  	<detnt>
DP0FP0  	<det><pos><f><pl>
DP0FS0  	<det><pos><f><sg>
DP0CP0  	<det><pos><mf><pl>
DP0CS0  	<det><pos><mf><sg>
DP0MP0  	<det><pos><m><pl>
DP0MS0  	<det><pos><m><sg>
I       	<ij>
Fc      	<lpar>
Fc      	<lquest>
NPFSV00 	<n><acr><f><sg>
NPFNV00 	<n><acr><f><sp>
NPCNV00 	<n><acr><mf><sp>
NPMSV00 	<n><acr><m><sg>
NPMNV00 	<n><acr><m><sp>
NCFPV00 	<n><f><pl>
NCFSV00 	<n><f><sg>
NCFNV00 	<n><f><sp>
NCCPV00 	<n><mf><pl>
NCCSV00 	<n><mf><sg>
NCCNV00 	<n><mf><sp>
NCMPV00 	<n><m><pl>
NCMSV00 	<n><m><sg>
NCMNV00 	<n><m><sp>
NP00V00 	<np><al>
NP00SP0 	<np><ant>
NP00G00 	<np><loc>
Z       	<num>
Z       	<num><mf><pl>
Z       	<num><mf><sg>
Z       	<num><mf><sp>
Z       	<num><m><sg>
Z       	<num><m><sp>
Zp      	<num><percent>
SPS00   	<pr>
RG      	<preadv>
DI0FP0  	<predet><f><pl>
DI0FS0  	<predet><f><sg>
DI0MP0  	<predet><m><pl>
DI0MS0  	<predet><m><sg>
DI0NN0  	<predet><nt><sp>
PP1CP000	<prn><enc><p1><mf><pl>
PP1CS000	<prn><enc><p1><mf><sg>
PP2CP000	<prn><enc><p2><mf><pl>
PP2CS000	<prn><enc><p2><mf><sg>
PP3FP000	<prn><enc><p3><f><pl>
PP3FS000	<prn><enc><p3><f><sg>
PP3CP000	<prn><enc><p3><mf><pl>
PP3CS000	<prn><enc><p3><mf><sg>
PP3CN000	<prn><enc><p3><mf><sp>
PP3MP000	<prn><enc><p3><m><pl>
PP3MS000	<prn><enc><p3><m><sg>
PP3NN000	<prn><enc><p3><nt>
PP3CN000	<prn><enc><ref><p3><mf><sp>
PT0FP000	<prn><itg><f><pl>
PT0FS000	<prn><itg><f><sg>
PT0CP000	<prn><itg><mf><pl>
PT0CS000	<prn><itg><mf><sg>
PT0CN000	<prn><itg><mf><sp>
PT0MP000	<prn><itg><m><pl>
PT0MP000	<prn><itg><m><sg>
PP1CP000	<prn><pro><p1><mf><pl>
PP1CS000	<prn><pro><p1><mf><sg>
PP2CP000	<prn><pro><p2><mf><pl>
PP2CS000	<prn><pro><p2><mf><sg>
PP3FP000	<prn><pro><p3><f><pl>
PP3FS000	<prn><pro><p3><f><sg>
PP3CP000	<prn><pro><p3><mf><pl>
PP3CS000	<prn><pro><p3><mf><sg>
PP3MP000	<prn><pro><p3><m><pl>
PP3MS000	<prn><pro><p3><m><sg>
PP3NN000	<prn><pro><p3><nt>
PP3CN000	<prn><pro><ref><p3><mf><sp>
PP0FP000	<prn><tn><f><pl>
PP0FS000	<prn><tn><f><sg>
PP0CP000	<prn><tn><mf><pl>
PP0CS000	<prn><tn><mf><sg>
PP0MP000	<prn><tn><m><pl>
PP0MS000	<prn><tn><m><sg>
PP0NS000	<prn><tn><nt><sg>
PP1FP000	<prn><tn><p1><f><pl>
PP1CS000	<prn><tn><p1><mf><sg>
PP1MP000	<prn><tn><p1><m><pl>
PP2FP000	<prn><tn><p2><f><pl>
PP2CS000	<prn><tn><p2><mf><sg>
PP2MP000	<prn><tn><p2><m><pl>
PP3FP000	<prn><tn><p3><f><pl>
PP3FS000	<prn><tn><p3><f><sg>
PP3CP000	<prn><tn><p3><mf><pl>
PP3CS000	<prn><tn><p3><mf><sg>
PP3MP000	<prn><tn><p3><m><pl>
PP3MS000	<prn><tn><p3><m><sg>
PP3CN000	<prn><tn><ref><p3><mf><sp>
PR0FP000	<rel><aa><f><pl>
PR0FS000	<rel><aa><f><sg>
PR0MP000	<rel><aa><m><pl>
PR0MS000	<rel><aa><m><sg>
PR000000	<rel><adv>
PR0FP000	<rel><an><f><pl>
PR0FS000	<rel><an><f><sg>
PR0MP000	<rel><an><m><pl>
PR0MS000	<rel><an><m><sg>
PR0FP000	<rel><f><pl>
PR0FS000	<rel><f><sg>
PR0CP000	<rel><mf><pl>
PR0CS000	<rel><mf><sg>
PR0CN000	<rel><mf><sp>
PR0MP000	<rel><m><pl>
PR0MS000	<rel><m><sg>
PR0NS000	<rel><nt><sg>
Fp      	<rpar>
VSIC1P0 	<vbhaver><cni><p1><pl>
VSIC1S0 	<vbhaver><cni><p1><sg>
VSIC2P0 	<vbhaver><cni><p2><pl>
VSIC2S0 	<vbhaver><cni><p2><sg>
