1234567

AQ0FP0  	<adj><fem><pl>
AQ0FS0  	<adj><fem><sg>
A00FP0  	<adj><ind><fem><pl>
A00FS0  	<adj><ind><fem><sg>
A00MP0  	<adj><ind><masc><pl>
A00MS0  	<adj><ind><masc><sg>
A00CN0  	<adj><itg><MF><sp>
AQ0CP0  	<adj><MF><pl>
AQ0CS0  	<adj><MF><sg>
AQ0CN0  	<adj><MF><sp>
AQ0MP0  	<adj><masc><pl>
AQ0MS0  	<adj><masc><sg>
A00FP0  	<adj><pos><fem><pl>
A00FS0  	<adj><pos><fem><sg>
A00MP0  	<adj><pos><masc><pl>
A00MS0  	<adj><pos><masc><sg>
RG      	<adv>
RG      	<adv><itg>
Fc      	<cm>
CA      	<cnjadv>
CC      	<cnjcoo>
CS      	<cnjsub>
DA0FP0  	<det><def><fem><pl>
DA0FS0  	<det><def><fem><sg>
DA0MP0  	<det><def><masc><pl>
DA0MS0  	<det><def><masc><sg>
DD0FP0  	<det><dem><fem><pl>
DD0FS0  	<det><dem><fem><sg>
DD0MP0  	<det><dem><masc><pl>
DD0MS0  	<det><dem><masc><sg>
DI0FP0  	<det><ind><fem><pl>
DI0FS0  	<det><ind><fem><sg>
DI0CP0  	<det><ind><MF><pl>
DI0CS0  	<det><ind><MF><sg>
DI0MP0  	<det><ind><masc><pl>
DI0MS0  	<det><ind><masc><sg>
D00NN0  	<detnt>
DP0FP0  	<det><pos><fem><pl>
DP0FS0  	<det><pos><fem><sg>
DP0CP0  	<det><pos><MF><pl>
DP0CS0  	<det><pos><MF><sg>
DP0MP0  	<det><pos><masc><pl>
DP0MS0  	<det><pos><masc><sg>
I       	<ij>
Fc      	<lpar>
Fc      	<lquest>
NPFSV00 	<nom><acr><fem><sg>
NPFNV00 	<nom><acr><fem><sp>
NPCNV00 	<nom><acr><MF><sp>
NPMSV00 	<nom><acr><masc><sg>
NPMNV00 	<nom><acr><masc><sp>
NCFPV00 	<nom><fem><pl>
NCFSV00 	<nom><fem><sg>
NCFNV00 	<nom><fem><sp>
NCCPV00 	<nom><MF><pl>
NCCSV00 	<nom><MF><sg>
NCCNV00 	<nom><MF><sp>
NCMPV00 	<nom><masc><pl>
NCMSV00 	<nom><masc><sg>
NCMNV00 	<nom><masc><sp>
NP00V00 	<Npropi><al>
NP00SP0 	<Npropi><ant>
NP00G00 	<Npropi><lloc>
Z       	<num>
Z       	<num><MF><pl>
Z       	<num><MF><sg>
Z       	<num><MF><sp>
Z       	<num><masc><sg>
Z       	<num><masc><sp>
Zp      	<num><percent>
SPS00   	<prep>
RG      	<preadv>
DI0FP0  	<predet><fem><pl>
DI0FS0  	<predet><fem><sg>
DI0MP0  	<predet><masc><pl>
DI0MS0  	<predet><masc><sg>
DI0NN0  	<predet><neutre><sp>
PP1CP000	<pron><enc><p1><MF><pl>
PP1CS000	<pron><enc><p1><MF><sg>
PP2CP000	<pron><enc><p2><MF><pl>
PP2CS000	<pron><enc><p2><MF><sg>
PP3FP000	<pron><enc><p3><fem><pl>
PP3FS000	<pron><enc><p3><fem><sg>
PP3CP000	<pron><enc><p3><MF><pl>
PP3CS000	<pron><enc><p3><MF><sg>
PP3CN000	<pron><enc><p3><MF><sp>
PP3MP000	<pron><enc><p3><masc><pl>
PP3MS000	<pron><enc><p3><masc><sg>
PP3NN000	<pron><enc><p3><neutre>
PP3CN000	<pron><enc><ref><p3><MF><sp>
PT0FP000	<pron><itg><fem><pl>
PT0FS000	<pron><itg><fem><sg>
PT0CP000	<pron><itg><MF><pl>
PT0CS000	<pron><itg><MF><sg>
PT0CN000	<pron><itg><MF><sp>
PT0MP000	<pron><itg><masc><pl>
PT0MP000	<pron><itg><masc><sg>
PP1CP000	<pron><pro><p1><MF><pl>
PP1CS000	<pron><pro><p1><MF><sg>
PP2CP000	<pron><pro><p2><MF><pl>
PP2CS000	<pron><pro><p2><MF><sg>
PP3FP000	<pron><pro><p3><fem><pl>
PP3FS000	<pron><pro><p3><fem><sg>
PP3CP000	<pron><pro><p3><MF><pl>
PP3CS000	<pron><pro><p3><MF><sg>
PP3MP000	<pron><pro><p3><masc><pl>
PP3MS000	<pron><pro><p3><masc><sg>
PP3NN000	<pron><pro><p3><neutre>
PP3CN000	<pron><pro><ref><p3><MF><sp>
PP0FP000	<pron><tn><fem><pl>
PP0FS000	<pron><tn><fem><sg>
PP0CP000	<pron><tn><MF><pl>
PP0CS000	<pron><tn><MF><sg>
PP0MP000	<pron><tn><masc><pl>
PP0MS000	<pron><tn><masc><sg>
PP0NS000	<pron><tn><neutre><sg>
PP1FP000	<pron><tn><p1><fem><pl>
PP1CS000	<pron><tn><p1><MF><sg>
PP1MP000	<pron><tn><p1><masc><pl>
PP2FP000	<pron><tn><p2><fem><pl>
PP2CS000	<pron><tn><p2><MF><sg>
PP2MP000	<pron><tn><p2><masc><pl>
PP3FP000	<pron><tn><p3><fem><pl>
PP3FS000	<pron><tn><p3><fem><sg>
PP3CP000	<pron><tn><p3><MF><pl>
PP3CS000	<pron><tn><p3><MF><sg>
PP3MP000	<pron><tn><p3><masc><pl>
PP3MS000	<pron><tn><p3><masc><sg>
PP3CN000	<pron><tn><ref><p3><MF><sp>
PR0FP000	<rel><aa><fem><pl>
PR0FS000	<rel><aa><fem><sg>
PR0MP000	<rel><aa><masc><pl>
PR0MS000	<rel><aa><masc><sg>
PR000000	<rel><adv>
PR0FP000	<rel><an><fem><pl>
PR0FS000	<rel><an><fem><sg>
PR0MP000	<rel><an><masc><pl>
PR0MS000	<rel><an><masc><sg>
PR0FP000	<rel><fem><pl>
PR0FS000	<rel><fem><sg>
PR0CP000	<rel><MF><pl>
PR0CS000	<rel><MF><sg>
PR0CN000	<rel><MF><sp>
PR0MP000	<rel><masc><pl>
PR0MS000	<rel><masc><sg>
PR0NS000	<rel><neutre><sg>
Fp      	<rpar>
VSIC1P0 	<vbhaver><CondInd><p1><pl>
VSIC1S0 	<vbhaver><CondInd><p1><sg>
VSIC2P0 	<vbhaver><CondInd><p2><pl>
VSIC2S0 	<vbhaver><CondInd><p2><sg>
VSIC3P0 	<vbhaver><CondInd><p3><pl>
VSIC3S0 	<vbhaver><CondInd><p3><sg>
VSIF1P0 	<vbhaver><FutInd><p1><pl>
VSIF1S0 	<vbhaver><FutInd><p1><sg>
VSIF2P0 	<vbhaver><FutInd><p2><pl>
VSIF2S0 	<vbhaver><FutInd><p2><sg>
VSIF3P0 	<vbhaver><FutInd><p3><pl>
VSIF3S0 	<vbhaver><FutInd><p3><sg>
VSSF1P0 	<vbhaver><fts><p1><pl>
VSSF1S0 	<vbhaver><fts><p1><sg>
VSSF2P0 	<vbhaver><fts><p2><pl>
VSSF2S0 	<vbhaver><fts><p2><sg>
VSSF3P0 	<vbhaver><fts><p3><pl>
VSSF3S0 	<vbhaver><fts><p3><sg>
VSG0000 	<vbhaver><ger>
VSIS1P0 	<vbhaver><ifi><p1><pl>
VSIS1S0 	<vbhaver><ifi><p1><sg>
VSIS2P0 	<vbhaver><ifi><p2><pl>
VSIS2S0 	<vbhaver><ifi><p2><sg>
VSIS3P0 	<vbhaver><ifi><p3><pl>
VSIS3S0 	<vbhaver><ifi><p3><sg>
VSM01P0 	<vbhaver><Imperatiu><p1><pl>
VSM02P0 	<vbhaver><Imperatiu><p2><pl>
VSM02S0 	<vbhaver><Imperatiu><p2><sg>
VSM03P0 	<vbhaver><Imperatiu><p3><pl>
VSM03S0 	<vbhaver><Imperatiu><p3><sg>
VSN0000 	<vbhaver><inf>
VSII1P0 	<vbhaver><pii><p1><pl>
VSII1S0 	<vbhaver><pii><p1><sg>
VSII2P0 	<vbhaver><pii><p2><pl>
VSII2S0 	<vbhaver><pii><p2><sg>
VSII3P0 	<vbhaver><pii><p3><pl>
VSII3S0 	<vbhaver><pii><p3><sg>
VSSI1P0 	<vbhaver><pis><p1><pl>
VSSI1S0 	<vbhaver><pis><p1><sg>
VSSI2P0 	<vbhaver><pis><p2><pl>
VSSI2S0 	<vbhaver><pis><p2><sg>
VSSI3P0 	<vbhaver><pis><p3><pl>
VSSI3S0 	<vbhaver><pis><p3><sg>
VSP00PF 	<vbhaver><partpi><fem><pl>
VSP00SF 	<vbhaver><partpi><fem><sg>
VSP00PM 	<vbhaver><partpi><masc><pl>
VSP00SM 	<vbhaver><partpi><masc><sg>
VSIP1P0 	<vbhaver><PresInd><p1><pl>
VSIP1S0 	<vbhaver><PresInd><p1><sg>
VSIP2P0 	<vbhaver><PresInd><p2><pl>
VSIP2S0 	<vbhaver><PresInd><p2><sg>
VSIP3P0 	<vbhaver><PresInd><p3><pl>
VSIP3S0 	<vbhaver><PresInd><p3><sg>
VSSP1P0 	<vbhaver><PresSubj><p1><pl>
VSSP1S0 	<vbhaver><PresSubj><p1><sg>
VSSP2P0 	<vbhaver><PresSubj><p2><pl>
VSSP2S0 	<vbhaver><PresSubj><p2><sg>
VSSP3P0 	<vbhaver><PresSubj><p3><pl>
