"Apertium on Macedonian Wikipedia","Bulgarian WP has 107,355 articles, Macedonian WP has 42,112, less than half as many. Translate some articles from Bulgarian Wikipedia to Macedonian Wikipedia using Apertium, and then postedit them. Explain to the local Wikipedia community what you are doing beforehand.",24,ftyers,Easy,Outreach,"Macedonian, wikipedia"
"Apertium on Occitan Wikipedia","Catalan WP has 350,000 articles, Occitan WP has 55,000. Translate some articles from Catalan Wikipedia to Occitan Wikipedia using Apertium, and then postedit them. Explain to the local Wikipedia community what you are doing beforehand.",24,ftyers,Easy,Outreach,"Occitan, wikipedia"
"Apertium on Asturian Wikipedia","Spanish WP has 840,000 articles, Asturian WP has 15,000, almost a fiftieth as few. Translate some articles from Spanish Wikipedia to Asturian Wikipedia using Apertium, and then postedit them. Explain to the local Wikipedia community what you are doing beforehand.",24,ftyers,Easy,Outreach,"Asturian, wikipedia"
"Apertium on Aragonese Wikipedia","Spanish WP has 840,000 articles, Aragonese WP has 26,000. Translate some articles from Spanish Wikipedia to Aragonese Wikipedia using Apertium, and then postedit them. Explain to the local Wikipedia community what you are doing beforehand.",24,ftyers,Easy,Outreach,"Aragonese, wikipedia"
"Apertium on Esperanto Wikipedia: Catalan","Catalan WP has 350,000 articles, Esperanto WP has 150,000. Translate some articles from Catalan Wikipedia to Esperanto Wikipedia using Apertium, and then postedit them. You can use the utility <a href='http://vikitraduko.saluton.dk:8080/vikitraduko/'>Vikitradukilo</a>. Explain to the Esperanto Wikipedia community what you are doing beforehand.",24,hectoralos,Easy,Outreach,"Esperanto, wikipedia"
"Apertium on Esperanto Wikipedia: Spanish","Spanish WP has 840,000 articles, Esperanto WP has 150,000. Translate some articles from Spanish Wikipedia to Esperanto Wikipedia using Apertium, and then postedit them. You can use the utility <a href='http://vikitraduko.saluton.dk:8080/vikitraduko/'>Vikitradukilo</a>. Explain to the Esperanto Wikipedia community what you are doing beforehand.",24,hectoralos,Easy,Outreach,"Esperanto, wikipedia"
"Apertium on Esperanto Wikipedia: French","French WP has 1,200,000 articles, Esperanto WP has 150,000. Translate some articles from French Wikipedia to Esperanto Wikipedia using Apertium, and then postedit them. You can use the utility <a href='http://vikitraduko.saluton.dk:8080/vikitraduko/'>Vikitradukilo</a>. Explain to the Esperanto Wikipedia community what you are doing beforehand.",24,hectoralos,Easy,Outreach,"Esperanto, wikipedia"
"Apertium on Esperanto Wikipedia: English","English WP has 3,800,000 articles, Esperanto WP has 150,000. Translate some articles from English Wikipedia to Esperanto Wikipedia using Apertium, and then postedit them. You can use the utility <a href='http://vikitraduko.saluton.dk:8080/vikitraduko/'>Vikitradukilo</a>. Explain to the Esperanto Wikipedia community what you are doing beforehand.",24,hectoralos,Easy,Outreach,"Esperanto, wikipedia"
"Quality evaluation: Spanish and French","Perform a human post-edition evaluation of the Spanish and French language pair. This will involve taking some free text (e.g. from Wikipedia or Wikinews), running it through the translator and then altering the output to be correct. Then using apertium-eval-translator to calculate the Word Error Rate. The minimum amount of text should be 2,000 words.",96,ftyers,Easy,Quality Assurance,"Spanish, French, mt"
"Quality evaluation: Spanish and Occitan","Perform a human post-edition evaluation of the Spanish and Occitan language pair. This will involve taking some free text (e.g. from Wikipedia or Wikinews), running it through the translator and then altering the output to be correct. Then using apertium-eval-translator to calculate the Word Error Rate. The minimum amount of text should be 2,000 words.",96,jimregan,Easy,Quality Assurance,"Spanish, Occitan, mt"
"Quality evaluation: Spanish and Asturian","Perform a human post-edition evaluation of the Spanish and Asturian language pair. This will involve taking some free text (e.g. from Wikipedia or Wikinews), running it through the translator and then altering the output to be correct. Then using apertium-eval-translator to calculate the Word Error Rate. The minimum amount of text should be 2,000 words.",96,ftyers,Easy,Quality Assurance,"Spanish, Asturian, mt"
