where	lg1	direction	lg2	stems	created	updated
trunk	af	<>	nl	5768	2007-09-24	2012-10-10
trunk	br	<>	fr	17382	2007-05-02	2012-12-29
trunk	ca	<>	it	7554	2009-07-17	2012-10-10
trunk	cy	<>	en	10932	2007-05-02	2013-01-08
trunk	en	<>	ca	30410	2007-05-10	2012-12-18
trunk	en	<>	es	23640	2008-02-11	2012-11-19
trunk	en	<>	gl	15160	2008-11-19	2012-10-10
trunk	eo	<	ca	35004	2007-12-21	2012-10-10
trunk	eo	<>	en	25520	2008-08-24	2012-10-10
trunk	eo	<	es	41463	2007-12-21	2012-10-10
trunk	eo	<>	fr	29833	2009-05-05	2012-10-10
trunk	es	<>	an	15014	2007-05-16	2012-12-30
trunk	es	<>	ast	29701	2009-04-22	2013-01-08
trunk	es	<>	ca	29503	2007-05-16	2012-12-15
trunk	es	<>	gl	7632	2007-06-20	2012-10-10
trunk	es	<>	it	9833	2007-07-17	2012-10-10
trunk	es	<>	pt	9086	2007-05-15	2012-10-16
trunk	es	<>	ro	15388	2007-04-26	2012-08-06
trunk	eu	>	en	8567	2007-07-19	2012-10-10
trunk	eu	>	es	9575	2007-07-19	2012-10-10
trunk	fr	<>	ca	7320	2007-05-13	2012-10-10
trunk	fr	<>	es	20182	2007-02-23	2013-01-07
trunk	id	<>	ms	8180	2012-05-04	2012-11-21
trunk	is	>	en	17695	2007-06-20	2012-10-10
trunk	mk	<>	bg	8581	2010-04-05	2012-10-10
trunk	mk	>	en	30417	2010-09-05	2013-01-08
trunk	nn	<>	nb	53983	2008-03-24	2013-01-08
trunk	oc	<>	ca	13900	2007-04-26	2012-10-26
trunk	oc	<>	es	-1	2007-10-03	2012-10-10
trunk	pt	<>	ca	6670	2008-03-21	2012-10-10
trunk	pt	<>	gl	-1	2008-06-09	2012-10-10
trunk	sh	>	mk	8672	2007-06-08	2012-11-12
trunk	sh	<>	sl	13187	2012-04-27	2012-10-14
trunk	sme	>	nob	57908	2010-01-11	2012-10-08
trunk	sv	<>	da	5989	2007-04-25	2013-01-08
trunk	tr	>	az	2792	2011-03-30	2011-10-19
staging	ca	<>	sc	2450	2010-10-28	2011-08-30
staging	fr	<>	pt	16173	2007-02-23	2011-02-10
staging	mt	<>	ar	6719	2012-04-02	2012-09-17
staging	mt	>	he	3252	2011-04-27	2012-09-18
